ID,Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
1841,55,25,23,93106,4,0.4,3,88,0,0,0,0,0
2116,57,31,30,95070,3,1.4,1,0,0,0,0,0,0
4438,63,38,63,92507,2,1.5,1,0,0,0,0,1,0
1147,31,7,71,90034,1,0.1,1,78,0,1,0,0,0
2487,61,36,130,92717,1,1.3,1,257,0,0,0,0,0
45,46,20,104,94065,1,5.7,1,0,0,0,0,1,1
2155,32,8,45,94558,1,2.4,2,0,0,0,0,0,0
1527,36,10,80,94608,4,2.2,2,0,0,0,0,1,0
4856,58,32,130,94720,2,2.7,1,0,0,0,0,1,0
1379,54,29,34,93305,4,0.1,3,0,0,0,0,1,0
1766,26,0,149,95051,2,7.2,1,154,0,0,0,0,0
3013,29,3,172,92373,2,4.5,1,415,0,0,0,1,0
414,32,7,42,92407,3,2.3,1,0,0,0,0,1,0
4285,38,13,173,94305,2,3.3,1,243,0,0,0,0,0
1408,63,39,101,94306,2,3.9,3,294,1,0,0,1,0
1659,50,25,14,92037,4,0.8,1,0,0,0,0,1,0
802,47,23,8,92612,4,0.2,1,0,0,0,0,1,0
1289,63,38,129,91326,1,0.9,1,366,0,0,0,1,0
2183,40,14,22,94566,2,1.4,3,0,0,0,0,0,0
2589,61,36,29,93065,1,1.3,1,0,0,0,0,0,0
2616,57,32,68,94542,4,0.7,1,191,0,0,0,1,1
2319,60,34,23,94803,1,0.8,2,112,0,0,0,1,0
257,26,0,99,92697,4,2.3,3,0,0,0,0,0,1
4542,62,38,124,95023,1,3.8,1,405,0,0,0,1,0
1730,50,20,25,91320,4,0.4,3,0,0,0,0,1,0
1152,49,23,12,94720,2,0.1,3,0,0,1,1,1,0
4145,47,23,138,91367,2,3.3,1,0,0,0,0,1,1
648,62,38,64,95064,4,2.2,1,123,0,1,1,1,1
2909,57,32,22,95616,3,0.1,2,0,0,0,0,1,0
1703,56,30,122,93555,2,0.5,1,0,0,0,0,0,1
1882,46,19,82,91365,3,2.6666666666666665,2,0,0,0,0,0,0
3769,42,16,62,94309,1,0.7,3,170,0,0,1,1,1
1316,49,25,53,95134,2,1.0,3,181,0,0,0,0,0
2270,42,18,62,94305,3,2.1,3,0,0,0,0,1,0
1967,52,26,114,91330,2,2.4,2,0,0,0,0,0,0
2466,58,34,25,90059,2,0.3,1,123,0,0,0,1,0
3856,42,18,143,95630,1,1.7,1,0,0,1,0,1,0
1351,29,2,29,90266,4,1.5,2,0,0,0,0,0,1
3297,63,37,132,94080,1,4.4,2,0,1,0,0,1,0
113,40,15,82,91775,3,1.0,1,309,0,0,0,0,0
3134,30,5,73,93711,3,2.6,3,0,0,0,0,1,0
264,27,1,74,92121,4,1.8,2,112,0,0,0,1,1
1394,62,37,55,95039,3,0.9,3,0,0,0,0,1,0
1879,56,30,59,95833,3,0.8,1,159,0,1,0,1,0
1187,62,38,43,94928,4,1.2,2,0,0,0,0,1,0
3072,32,8,74,93023,4,0.1,2,257,0,0,0,0,1
57,55,30,29,94005,3,0.1,2,0,0,1,1,1,0
1310,38,14,71,95136,4,2.0,3,0,0,0,0,0,0
696,29,4,115,92717,1,1.9,1,0,0,0,0,0,0
2953,33,8,182,94065,1,8.6,1,0,0,0,0,0,0
1727,59,33,71,91335,2,2.3,3,150,0,0,0,1,1
2092,31,4,41,91360,1,2.0,2,0,0,1,0,1,0
3870,43,16,78,95670,3,2.6666666666666665,2,161,0,0,0,1,1
320,65,39,20,90034,3,0.7,2,0,0,0,0,0,1
4321,40,15,143,94801,1,4.1,1,0,0,0,0,1,0
683,58,34,12,90504,1,0.1,2,0,0,0,0,0,1
3842,30,4,81,94305,2,0.2,1,0,0,0,0,1,0
3214,39,9,32,90212,3,2.0,3,116,0,0,0,1,0
2003,30,4,142,92126,3,4.2,1,359,1,0,0,0,0
4783,26,0,150,91311,2,7.2,1,0,0,0,0,0,1
4151,46,20,72,92009,2,1.7,2,75,0,0,0,1,0
287,51,25,45,94806,3,0.6,2,131,0,0,0,1,0
1889,36,10,93,94305,1,2.8,3,0,0,0,0,1,0
2338,43,16,201,95054,1,10.0,2,0,1,0,0,0,1
2521,56,29,45,90095,4,2.5,2,113,0,0,0,1,0
2278,30,6,32,91330,2,1.0,2,0,0,0,0,0,0
2128,40,14,179,94720,2,0.0,1,0,0,0,0,0,0
3500,49,23,114,94550,1,0.3,1,286,0,0,0,1,0
4212,40,16,104,94301,2,1.8,2,0,0,0,0,0,0
2084,31,7,38,94025,1,0.2,3,0,0,0,0,1,0
737,61,35,152,91016,3,3.3,3,0,1,0,0,1,0
4802,34,10,88,94404,2,0.0,1,121,0,0,0,1,0
337,36,12,65,95051,3,2.6,2,0,0,0,0,1,0
2597,33,8,39,95032,3,2.3,1,0,0,0,0,0,0
2772,41,16,115,92333,1,7.0,1,0,0,0,0,0,0
3705,36,11,184,91304,2,5.1,2,0,1,0,0,0,0
4405,29,5,34,94301,1,0.4,3,0,0,0,0,0,0
1072,39,14,61,94005,3,0.5,3,137,0,0,0,1,0
2291,38,13,78,91942,4,0.7,3,0,0,0,0,1,0
1673,48,23,173,94546,3,0.2,1,0,1,0,1,1,1
4084,46,20,99,94302,3,1.1,1,0,0,0,0,0,0
4251,52,28,54,90041,4,0.1,3,0,0,0,0,0,1
4114,28,2,41,93118,3,1.1,2,161,0,0,0,1,0
4409,64,40,181,93403,2,2.3,2,0,1,0,1,1,1
3367,33,9,152,90024,1,6.0,1,0,0,0,0,1,1
1489,38,12,39,95825,2,0.3,1,174,0,0,0,1,0
499,32,8,43,95023,1,2.1,3,0,0,0,0,0,1
4383,60,34,38,92182,3,2.2,3,0,0,1,0,0,0
3480,31,6,64,94720,2,2.5,1,0,0,0,0,1,0
2582,60,34,25,94132,4,0.7,3,0,0,0,0,1,0
3124,44,17,22,94546,3,1.0,2,126,0,0,0,1,1
2922,50,24,95,91401,1,0.3,1,262,0,0,0,1,0
4378,33,8,145,92507,1,2.7,3,0,1,0,0,1,0
2645,40,14,28,94061,2,0.8,3,0,0,0,0,0,0
4287,53,29,20,93955,1,0.2,1,131,0,0,0,1,1
4041,57,32,44,90266,2,1.9,2,157,0,0,0,0,0
2035,59,33,91,92821,4,1.9,2,329,0,0,0,0,0
1023,27,3,118,95605,1,3.3,2,0,1,0,0,1,0
2283,38,14,90,94110,2,2.7,1,0,0,0,0,1,1
4887,51,26,64,94005,4,1.8,3,0,0,0,0,0,0
4220,58,34,30,90066,3,0.4,2,0,0,0,0,0,0
3064,54,29,21,95841,4,0.1,3,0,0,0,0,0,0
4366,26,2,85,95020,2,2.5,1,0,0,0,0,0,0
666,54,24,61,92866,4,2.0,3,0,0,1,0,1,0
3933,26,2,55,94305,3,0.7,2,0,0,0,0,1,0
2639,28,4,45,94025,1,1.0,3,0,0,0,0,1,0
3177,48,24,14,91330,3,0.4,1,0,0,0,0,1,0
4266,27,2,44,93943,4,0.6,2,0,0,1,1,1,0
3122,28,2,13,91791,4,0.4,1,0,0,0,0,0,1
1018,31,5,40,94305,4,1.3,3,170,0,0,0,0,0
558,39,15,118,95039,2,1.9,1,0,0,0,0,0,1
2400,62,36,41,90245,2,1.0,3,154,0,1,0,1,0
1208,38,12,43,94301,4,1.2,2,0,0,0,0,0,1
2006,47,23,170,90254,2,6.5,2,0,1,0,1,1,1
2657,40,15,144,91040,1,4.1,1,0,0,0,0,0,0
2136,45,15,28,95039,1,0.75,3,0,0,1,0,0,0
1511,57,32,33,95747,2,2.0,2,0,0,0,0,1,0
1737,57,31,131,95133,2,2.7,1,394,0,0,0,0,1
246,35,11,25,92614,2,1.0,2,0,0,0,0,0,0
1164,34,9,138,94720,2,7.8,1,227,0,0,0,1,0
3363,30,4,18,90277,2,0.3,2,0,0,0,0,1,0
267,63,38,61,94720,2,1.5,1,0,0,0,0,1,0
2367,30,4,63,95008,4,2.2,2,0,0,1,0,1,0
1115,32,8,39,95827,1,1.7,1,0,0,0,0,1,1
64,42,17,32,94523,4,0.0,2,0,0,0,0,1,0
2593,57,32,69,94710,4,0.7,1,245,0,0,0,0,0
2789,45,20,30,96003,1,0.1,1,0,0,0,0,1,0
2758,63,38,50,93943,2,2.8,1,205,0,0,0,0,0
3012,55,31,63,95616,3,2.6666666666666665,1,0,0,0,0,1,0
3077,29,-1,62,92672,2,1.75,3,0,0,0,0,0,1
2999,61,35,38,93106,2,0.3,1,0,0,0,0,0,0
2816,26,1,48,94019,3,2.6,3,169,0,0,0,0,0
2260,24,0,82,90401,3,0.8,1,0,0,0,0,1,0
4959,50,26,19,90095,1,0.9,3,0,0,0,0,0,0
3205,61,35,49,90095,4,1.7,2,185,0,0,0,0,0
1238,38,13,169,92093,1,6.8,3,0,1,0,1,1,1
104,43,18,22,95670,2,0.3,2,0,0,0,0,1,0
2644,63,38,14,92630,4,0.4,2,86,0,0,0,1,1
273,29,3,45,95023,4,0.2,1,158,0,0,0,1,1
509,47,22,15,95521,2,0.7,3,0,0,0,0,0,0
2227,25,1,98,90717,1,5.4,1,0,0,0,0,1,0
4934,47,23,94,92029,1,4.7,1,0,0,0,0,1,1
2442,64,38,38,94305,2,0.3,1,186,0,0,0,1,1
866,60,34,22,92037,3,0.3,3,139,0,0,0,1,1
3327,53,27,174,91006,1,2.9,2,0,1,0,0,1,0
909,66,36,55,93023,4,1.6666666666666667,3,0,0,0,0,0,1
2115,62,36,69,95039,2,1.7,3,0,0,0,0,1,0
3897,48,24,224,93940,2,6.666666666666667,1,0,0,0,1,1,1
1628,46,20,82,91016,3,0.7,2,0,0,0,0,1,1
2874,48,23,35,93943,1,0.1,1,0,0,1,0,1,0
1523,25,-1,101,94720,4,2.3,3,256,0,0,0,0,1
836,58,33,142,92691,2,3.9,1,193,0,0,0,1,1
359,30,6,141,94539,2,4.333333333333333,1,0,0,0,0,1,0
